,Port_IDs,Total_PnL,ROI,Sharpe_Ratio,MDD,Win_Rate,Win_Positions,Total_Positions,PnL_Rank,ROI_Rank,Sharpe_Ratio_Rank,Win_Rate_Rank,MDD_Rank,Win_Positions_Rank,Total_Positions_Rank,Overall_Rank
108,4029299190618134272,3157.57256839,0.6573449533373988,0.2287725458175378,-0.53788037,30.666666666666664,69,225,60.0,70.0,48.0,105.0,107.0,105.0,105.0,69.0
27,3931992636670880512,10169.88944223,0.5708592967670466,0.05085936834505047,-inf,40.373765867418896,2290,5672,14.0,75.0,132.0,65.0,10.5,7.0,10.0,70.0
110,4029506971304830209,2413.6540000200002,3.0647693975307293,0.24986176038907815,-48051.876620510455,6.0,3,50,86.0,13.0,43.0,145.0,87.0,145.0,140.0,71.0
59,3978449781300392193,5851.1057143200005,0.2628727305268771,0.1366152982456213,-7.946028166234453e+81,41.81523500810373,258,617,30.0,112.0,91.0,59.0,29.0,66.0,66.0,72.0
52,3966142151544441601,4783.05370744,0.30318929225179947,0.05616459100095502,-inf,50.37546933667084,805,1598,37.0,104.0,129.0,23.0,10.5,35.0,38.0,73.0
35,3942630767220672256,6575.78316398,0.5552925177562754,0.06856815973184972,-4.13413357036891e+98,38.539254893706584,1831,4751,24.0,77.0,123.0,70.0,26.0,16.0,16.0,74.5
139,4037511388357114368,3561.73233415,0.4025613597247602,0.09152267890157113,-1.2433183700729815e+44,46.25,407,880,53.0,91.0,111.0,39.0,42.0,49.5,52.0,74.5
81,4004713168329653760,1667.19861,3.210949034255437,0.27732125954766185,0.0,7.4074074074074066,2,27,115.0,6.0,31.0,144.0,128.5,147.0,147.0,76.0
141,4037785885739608577,1934.5792352600001,2.7972728731428775,0.22675038997835759,0.0,24.081632653061224,59,245,107.0,16.0,51.0,124.0,128.5,110.0,102.0,77.5
46,3953764659057081857,6241.74633404,0.3892814790218168,0.13845704068544634,-1.5750328754535146e+54,33.46693386773547,167,499,26.0,93.0,88.0,91.0,38.0,78.0,75.0,77.5
83,4008537296438699777,2330.24543558,0.6935019759693981,0.10819141159788966,-3.347116172794401e+30,46.75572519083969,245,524,94.0,66.0,103.0,36.0,57.0,69.0,72.0,79.0
33,3939925275039085824,2366.28078491,0.65823213952736,0.215537981308974,-2.2402818374679587e+110,36.25921481227499,2115,5833,92.0,69.0,60.0,82.0,23.0,11.0,5.5,80.0
125,4031493134338259457,8887.1737933,0.11725397126615811,0.16248157915542993,-inf,37.88968824940048,632,1668,18.0,134.0,79.0,74.0,10.5,39.0,36.0,81.5
79,4002413037164645377,3569.10459052,2.4501988388447318,0.12368149076700732,-7.47767369426829e+61,16.936936936936934,94,555,51.0,20.0,96.0,138.0,33.0,95.0,70.0,81.5
60,3981810242465907713,2836.47282999,1.1072640289660813,0.199893278784394,-27.765963499375964,11.76470588235294,12,102,68.0,37.0,66.0,140.0,98.0,138.0,123.5,83.0
7,3819545518395756033,976.85638996,0.7297879740252764,0.2223129519988111,0.0,39.682539682539684,25,63,133.0,59.0,54.0,67.0,128.5,130.5,138.0,84.0
20,3911997667197443328,605.72231024,0.621665092184959,0.17249046041688443,-1.0632243334518035e+18,46.875,30,64,135.0,71.0,73.0,35.0,71.0,128.0,137.0,85.0
118,4030635536196756737,2578.34975484,0.27653371106380764,0.0903782113892069,-22333915.03926577,52.63987391646966,668,1269,76.0,111.0,112.0,16.0,84.0,38.0,44.0,86.0
104,4026179081117855488,6876.84129451,0.41791301163986966,0.14579643628982047,-539949903.5304484,24.864864864864867,46,185,22.0,87.0,85.0,122.0,82.0,118.5,110.0,87.0
129,4033639786957934336,2848.14185731,0.7083243451546234,0.2272727506631876,0.0,18.796992481203006,25,133,67.0,64.0,50.0,136.0,128.5,130.5,115.0,89.0
98,4021669203289716224,26438.767141610002,0.4074623999529124,0.06958148729664891,-7.183236464314961e+100,31.621287128712872,511,1616,3.0,90.0,122.0,102.0,25.0,43.0,37.0,89.0
